Country,REF_AREA,cluster,investment_cluster,score_fdi,score_banking,score_manuf,score_digital,score_composite
South Africa,ZAF,4,Tier 2,0.13039619207641,0.3276390564811189,0.4227804508751562,0.6255796297948556,0.35184
South Sudan,SSD,3,Tier 3,0.1407381075970852,0.2856433574585907,0.1995109952841197,0.6234498082800162,0.2882
Spain,ESP,1,Tier 1,0.307551,0.473465,0.380223,0.725343,0.450756
Sri Lanka,LKA,4,Tier 2,0.158909014589186,0.2842039601363916,0.3981159303921252,0.6235719536804778,0.342967
St. Kitts and Nevis,KNA,3,Tier 3,0.1409478154512568,0.3627392476885537,0.2999992879406423,0.623377970139973,0.332645
St. Martin (French part),MAF,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6235551468585535,0.33405
St. Vincent and the Grenadines,VCT,3,Tier 3,0.1507427680011281,0.3161616449590143,0.3376314278815906,0.6233604675208368,0.333343
Sub-Saharan Africa,SSF,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6335063533648408,0.33604
Sudan,SDN,3,Tier 3,0.1418670106202098,0.3234724444037205,0.2857443627180532,0.623385459838028,0.319541
Suriname,SUR,4,Tier 2,0.1571656566625969,0.3097923154947201,0.3987607482734944,0.6234081273098032,0.34897
Sweden,SWE,4,Tier 2,0.1756611153715942,0.3865168188405083,0.3807902061980501,0.6433755155105271,0.3732
Switzerland,CHE,4,Tier 2,0.2209504883351817,0.4058164938615211,0.4102445263749829,0.6554641518374893,0.401393
Syrian Arab Republic,SYR,4,Tier 2,0.138762958044837,0.2402116118923896,0.3702101248899501,0.6235551468585535,0.318945
"Taiwan, China",TWN,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6304921529975234,0.335437
Tajikistan,TJK,4,Tier 2,0.2238235693104049,0.4322057933558615,0.3276903232291819,0.6233576720993899,0.381793
Thailand,THA,2,Tier 4,0.1510558987357103,0.4804256568417505,0.4344996963075665,0.0058282256544533,0.275214
Timor-Leste,TLS,3,Tier 3,0.1604777584099446,0.3022225746497451,0.1912453357723728,0.6233624428635534,0.296183
Tonga,TON,4,Tier 2,0.19902271815759,0.376862781089622,0.3420974027898256,0.6233565100850436,0.364118
Trinidad and Tobago,TTO,4,Tier 2,0.1456766359454522,0.3371224321838912,0.3900889331057695,0.6237989614673056,0.350266
Tunisia,TUN,4,Tier 2,0.1487753895623259,0.3504076102489911,0.4760884670924627,0.6235880901905962,0.375974
Turkiye,TUR,4,Tier 2,0.1545195907619599,0.5088358514237704,0.4531377200168467,0.6274219083693983,0.412334
Turkmenistan,TKM,4,Tier 2,0.1510763995325635,0.3276390564811189,0.3770515828049581,0.6235551468585535,0.346207
Turks and Caicos Islands,TCA,3,Tier 3,0.142537337905402,0.3276390564811189,0.2851817503162825,0.6234049772876638,0.320647
Tuvalu,TUV,3,Tier 3,0.1456749318071914,0.3842818876951637,0.3386700816058927,0.6233517477046863,0.349111
Uganda,UGA,3,Tier 3,0.1560352884957905,0.2965067544972257,0.2223755228103238,0.623541404006035,0.301239
Ukraine,UKR,4,Tier 2,0.1633239025631905,0.4200914965258572,0.3347348978799985,0.6249060715811552,0.362685
United Arab Emirates,ARE,4,Tier 2,0.146806742517723,0.3932496666864106,0.3980555347327699,0.6369186992160589,0.369252
United Kingdom,GBR,1,Tier 1,0.3051319111588834,0.4405067355303785,0.3416685034886506,0.6964696722224207,0.426377
United States,USA,1,Tier 1,0.412685,0.529228,0.312682,0.888602,0.512003
Uruguay,URY,4,Tier 2,0.1438143236546163,0.4150627106139175,0.3034731032898032,0.6235480716857825,0.347488
Uzbekistan,UZB,4,Tier 2,0.209636555426058,0.3397812396450737,0.383607981346192,0.6236177373155332,0.368462
Vanuatu,VUT,4,Tier 2,0.1688961462280683,0.3782206306978131,0.267776402420959,0.6233562160020961,0.336839
"Venezuela, RB",VEN,3,Tier 3,0.1467877402143376,0.329162832140478,0.3238610128354382,0.6243983718972345,0.332172
Viet Nam,VNM,4,Tier 2,0.1837830729915336,0.4335273267464091,0.5101233435790478,0.6245132371825842,0.41595
Virgin Islands (U.S.),VIR,3,Tier 3,0.142537337905402,0.3276390564811189,0.3524191251225999,0.6235551468585535,0.337487
West Bank and Gaza,PSE,3,Tier 3,0.142537337905402,0.3530566279049169,0.3295039853294395,0.6234001494513816,0.338081
"Yemen, Rep.",YEM,3,Tier 3,0.1843648034238128,0.3163602043718801,0.335117680563189,0.6234500947395071,0.342869
Zambia,ZMB,3,Tier 3,0.156207789013548,0.3337240515547958,0.2450429647377475,0.6234245922548171,0.316239
Zimbabwe,ZWE,4,Tier 2,0.2416711768497916,0.3849727526751529,0.2660721697817861,0.6234239245929263,0.359947
