REF_AREA,Country,Year,score_fdi,score_banking,score_manuf,score_digital,score_composite
FIN,Finland,2026,0.227089,0.352735,0.365115,0.67309,0.382207
FIN,Finland,2027,0.228669,0.355628,0.361421,0.686276,0.385118
FRA,France,2024,0.225016,0.370669,0.381041,0.677955,0.391023
FRA,France,2025,0.223608,0.374131,0.379706,0.696646,0.394871
FRA,France,2026,0.222203,0.377583,0.378375,0.715286,0.398708
FRA,France,2027,0.220799,0.381036,0.377043,0.733926,0.402545
PYF,French Polynesia,2024,0.225265,0.34624,0.34294,0.617327,0.36334
PYF,French Polynesia,2025,0.227466,0.349503,0.341466,0.634603,0.367903
PYF,French Polynesia,2026,0.22966,0.352756,0.339997,0.651832,0.372453
PYF,French Polynesia,2027,0.231855,0.356009,0.338527,0.669061,0.377003
GAB,Gabon,2024,0.222004,0.254292,0.483132,0.617495,0.374456
GAB,Gabon,2025,0.224131,0.256845,0.489692,0.634771,0.380828
GAB,Gabon,2026,0.226252,0.259392,0.496235,0.651999,0.387182
GAB,Gabon,2027,0.228373,0.261938,0.502778,0.669227,0.393536
GEO,Georgia,2024,0.2589,0.460083,0.358482,0.617463,0.405804
GEO,Georgia,2025,0.261833,0.467058,0.359886,0.634746,0.412235
GEO,Georgia,2026,0.264757,0.474013,0.361287,0.651981,0.418648
GEO,Georgia,2027,0.267682,0.480968,0.362687,0.669217,0.425062
DEU,Germany,2024,0.380937,0.541682,0.521748,0.840257,0.54819
DEU,Germany,2025,0.383449,0.545662,0.520855,0.8628,0.554224
DEU,Germany,2026,0.385954,0.549631,0.519964,0.885281,0.560241
DEU,Germany,2027,0.38846,0.553599,0.519072,0.907762,0.566258
GHA,Ghana,2024,0.225271,0.349227,0.294686,0.619354,0.35243
GHA,Ghana,2025,0.226961,0.351337,0.29778,0.636728,0.357713
GHA,Ghana,2026,0.228648,0.353442,0.300866,0.654055,0.362982
GHA,Ghana,2027,0.230334,0.355547,0.303951,0.671382,0.368251
GIB,Gibraltar,2024,0.225265,0.34624,0.336927,0.617584,0.361888
GIB,Gibraltar,2025,0.227466,0.349503,0.336624,0.634866,0.366745
GIB,Gibraltar,2026,0.22966,0.352756,0.336323,0.652102,0.371588
GIB,Gibraltar,2027,0.231855,0.356009,0.336021,0.669337,0.376431
GRC,Greece,2024,0.214197,0.434189,0.352524,0.605118,0.381961
GRC,Greece,2025,0.215763,0.440501,0.352521,0.623828,0.38775
GRC,Greece,2026,0.217326,0.446796,0.352517,0.642487,0.393523
GRC,Greece,2027,0.218888,0.453091,0.352514,0.661145,0.399297
GRL,Greenland,2024,0.225265,0.34624,0.291014,0.617584,0.35041
GRL,Greenland,2025,0.227466,0.349503,0.291216,0.634866,0.355393
GRL,Greenland,2026,0.22966,0.352756,0.291417,0.652102,0.360362
GRL,Greenland,2027,0.231855,0.356009,0.291619,0.669337,0.365331
GUM,Guam,2024,0.225265,0.34624,0.322752,0.617584,0.358344
GUM,Guam,2025,0.227466,0.349503,0.321155,0.634866,0.362877
GUM,Guam,2026,0.22966,0.352756,0.319563,0.652102,0.367398
GUM,Guam,2027,0.231855,0.356009,0.317971,0.669337,0.371919
GIN,Guinea,2024,0.246306,0.272011,0.300853,0.617393,0.340587
