country,year,composite_v1,composite_v2,tier_v1,tier_v2
Kenya,2024,0.3506958,0.5070429539999999,Medium,High
Kenya,2025,0.3566895,0.5195266759999999,Medium,High
Kenya,2026,0.3626673,0.531976618,High,High
Kenya,2027,0.36864515,0.54442653,High,High
Kiribati,2024,0.36066125000000004,0.512308556,Medium,High
Kiribati,2025,0.36631145,0.5247172779999999,High,High
Kiribati,2026,0.37194675,0.5370924399999999,High,High
Kiribati,2027,0.37758125,0.5494672599999999,High,High
"Korea, Dem. People's Rep.",2024,0.3410963,0.502714822,Medium,High
"Korea, Dem. People's Rep.",2025,0.34511775,0.514399052,Medium,High
"Korea, Dem. People's Rep.",2026,0.3491282,0.5260520179999999,Medium,High
"Korea, Dem. People's Rep.",2027,0.35313845,0.5377043259999998,Medium,High
"Korea, Rep.",2024,0.45576985000000003,0.5537678779999999,High,High
"Korea, Rep.",2025,0.46132320000000004,0.565956446,High,High
"Korea, Rep.",2026,0.46686145,0.5781125579999999,High,High
"Korea, Rep.",2027,0.47239975,0.5902681120000001,High,High
Kuwait,2024,0.3649152,0.51133794,High,High
Kuwait,2025,0.37048645,0.523562676,High,High
Kuwait,2026,0.37604325,0.5357545499999999,High,High
Kuwait,2027,0.38159950000000004,0.547946218,High,High
Kyrgyz Republic,2024,0.40167345,0.526510582,High,High
Kyrgyz Republic,2025,0.40777475,0.53898129,High,High
Kyrgyz Republic,2026,0.41385914999999995,0.55141736,High,High
Kyrgyz Republic,2027,0.419944,0.563854188,High,High
Lao PDR,2024,0.369492,0.513727512,High,High
Lao PDR,2025,0.3751991,0.5260474519999999,High,High
Lao PDR,2026,0.38089045,0.538334336,High,High
Lao PDR,2027,0.3865823,0.550621456,High,High
Latvia,2024,0.3906676,0.524055188,High,High
Latvia,2025,0.3955073,0.5374510799999999,High,High
Latvia,2026,0.40033385,0.5508104899999999,High,High
Latvia,2027,0.40516035,0.5641699299999999,High,High
Lebanon,2024,0.39574950000000003,0.526777158,High,High
