Country,cluster,cluster_name,score_fdi,score_banking,score_manuf,score_digital
Gibraltar,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.34071200110839217,0.40199813416625124
United Arab Emirates,3,Tier C – Moderate-Low,0.20370464924006662,0.3338927155190718,0.38600337022308423,0.4140071608435188
Gabon,3,Tier C – Moderate-Low,0.19554490231794772,0.22243806294543333,0.4012726669944764,0.40200021528778374
French Polynesia,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.3613629131567649,0.4018219476177523
Finland,3,Tier C – Moderate-Low,0.20416428354202254,0.3132930237288411,0.41878941737301006,0.4817623093009756
Faroe Islands,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.31761317046625354,0.40182415387038434
Eswatini,3,Tier C – Moderate-Low,0.20192294488937768,0.27773868074365415,0.4733306289419885,0.401851847840435
Equatorial Guinea,3,Tier C – Moderate-Low,0.19777744337420966,0.24779582604164793,0.36182081232571073,0.4021396282977796
Guam,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.34268501965108294,0.40199813416625124
Azerbaijan,3,Tier C – Moderate-Low,0.2223124122473008,0.2921020582778616,0.32678516071899627,0.3357337017395073
"Yemen, Rep.",1,Tier D – Low Attractiveness,0.2361461372219857,0.2886044752456286,0.3020362674964711,0.40194957133962933
Sudan,1,Tier D – Low Attractiveness,0.21869099491593277,0.26023690415799233,0.22720809550104407,0.40185839346931446
Tajikistan,1,Tier D – Low Attractiveness,0.2741008898841642,0.32535110932491756,0.3274061267197265,0.4017980793484118
Uganda,1,Tier D – Low Attractiveness,0.22808239926951657,0.2870136724453493,0.1968691444902806,0.40197781167407487
Timor-Leste,1,Tier D – Low Attractiveness,0.20903789458010968,0.26546474454482233,0.20108940037321235,0.4017984197966504
Tonga,1,Tier D – Low Attractiveness,0.2519650437460726,0.35913418224189414,0.2826366900639858,0.4017910173145475
Vanuatu,1,Tier D – Low Attractiveness,0.20499819122860308,0.35250423240029627,0.20195366638961634,0.40179583064305086
Afghanistan,1,Tier D – Low Attractiveness,0.20743757035818286,0.3146053922910763,0.27653448161041355,0.401924874654128
Liberia,1,Tier D – Low Attractiveness,0.24361698020919934,0.26332317255639304,0.1897717967901921,0.40182699233142233
Somalia,1,Tier D – Low Attractiveness,0.26681793276953353,0.30555994617515986,0.30007174889752375,0.40199813416625124
Jamaica,1,Tier D – Low Attractiveness,0.24378587281476496,0.33871153515933766,0.2723953384057212,0.40199622283909536
Haiti,1,Tier D – Low Attractiveness,0.23854217199099878,0.27289146126405467,0.27715225796410903,0.40183129932092165
Guinea,1,Tier D – Low Attractiveness,0.22658850336767503,0.275894435463874,0.21724464892430626,0.40184853151588246
Ghana,1,Tier D – Low Attractiveness,0.20418241041173127,0.32826456923712954,0.25608424673267893,0.40262093958700107
Fiji,1,Tier D – Low Attractiveness,0.21023095119218507,0.36141832275496494,0.2859618481981358,0.40181810685932345
Cote d'Ivoire,1,Tier D – Low Attractiveness,0.19023377552712376,0.26043332271041986,0.23289361850329957,0.4019787057552007
Kenya,1,Tier D – Low Attractiveness,0.2112276861106084,0.3211655717738397,0.20794255835845066,0.4019889677363709
"Congo, Dem. Rep.",1,Tier D – Low Attractiveness,0.2707170245069104,0.2900356380605517,0.2227386021338167,0.401976117413773
Central African Republic,1,Tier D – Low Attractiveness,0.20242715123530444,0.30555994617515986,0.219297357326768,0.4017971982755013
Cameroon,1,Tier D – Low Attractiveness,0.19685149215629907,0.22157861404035406,0.2374382557787101,0.4020293434362437
Burundi,1,Tier D – Low Attractiveness,0.2127755096266322,0.22479812548261033,0.12691687950250932,0.401797557021323
Burkina Faso,1,Tier D – Low Attractiveness,0.1926144045086651,0.2357750758472359,0.1789960065531582,0.4018982314741048
Bolivia,1,Tier D – Low Attractiveness,0.2180109498699251,0.32152928734647435,0.2884334979948168,0.3963739203091992
Angola,1,Tier D – Low Attractiveness,0.23907598109668063,0.27490660061376415,0.2780458551891955,0.4033920971438358
Chad,1,Tier D – Low Attractiveness,0.19473088022496585,0.2527761882283586,0.18630339152264577,0.4020831727096857
Kiribati,1,Tier D – Low Attractiveness,0.20966132836906057,0.34414232237131465,0.24985245533764697,0.40178803110114014
Lao PDR,1,Tier D – Low Attractiveness,0.24062711024956698,0.32950147650477385,0.25370553218932695,0.40180291461643547
Zambia,1,Tier D – Low Attractiveness,0.20856816117765295,0.33144779573288435,0.22071032540627442,0.40184975972169695
Solomon Islands,1,Tier D – Low Attractiveness,0.2089867014457838,0.32777787952243914,0.18164975435923073,0.4018047910573173
Sao Tome and Principe,1,Tier D – Low Attractiveness,0.2312860540992138,0.3108103626343578,0.2581596182233805,0.40178776459333027
Rwanda,1,Tier D – Low Attractiveness,0.20976764065197387,0.3352179230346417,0.19574887073463162,0.4017985501514631
Papua New Guinea,1,Tier D – Low Attractiveness,0.20304672924759867,0.2638588786264193,0.17894611132103125,0.40204684736211327
Nigeria,1,Tier D – Low Attractiveness,0.24405903307860455,0.3050717539977119,0.2207976494512596,0.4030769858864213
